hrs,min,day_of_week,is_weekend,0,1,2,3,4
12,45,0,0,0.0428,0.057999999999999996,0.0312,0.0507,0.0709
12,50,0,0,0.0346,0.0497,0.0239,0.0454,0.0703
12,55,0,0,0.0411,0.0576,0.0148,0.0487,0.0743
13,0,0,0,0.0435,0.0535,0.0685,0.0445,0.0757
13,5,0,0,0.0398,0.0576,0.0374,0.0513,0.0725
13,10,0,0,0.0414,0.0627,0.0125,0.0472,0.0556
13,15,0,0,0.0447,0.0574,0.0152,0.0486,0.0813
13,20,0,0,0.0407,0.0485,0.0337,0.0473,0.0688
13,25,0,0,0.0396,0.0595,0.0644,0.0536,0.0721
13,30,0,0,0.0688,0.0548,0.0182,0.0469,0.0726
13,35,0,0,0.0292,0.066,0.0124,0.0421,0.0717
13,40,0,0,0.0349,0.0639,0.0396,0.0488,0.0731
13,45,0,0,0.0685,0.0628,0.0645,0.0506,0.0696
13,50,0,0,0.0405,0.0711,0.0353,0.0594,0.0851
13,55,0,0,0.0438,0.0607,0.0148,0.0511,0.0593
14,0,0,0,0.046,0.0567,0.0673,0.0459,0.0673
14,5,0,0,0.0356,0.0625,0.0321,0.0477,0.0769
14,10,0,0,0.0406,0.0521,0.0474,0.0443,0.0726
14,15,0,0,0.040999999999999995,0.0655,0.0494,0.0484,0.0722
14,20,0,0,0.0517,0.0709,0.057999999999999996,0.0513,0.0811
14,25,0,0,0.0494,0.0554,0.0666,0.0548,0.0748
14,30,0,0,0.0384,0.0529,0.0646,0.0483,0.0801
14,35,0,0,0.0469,0.0587,0.0542,0.0494,0.0766
14,40,0,0,0.0314,0.0512,0.0444,0.0526,0.0587
14,45,0,0,0.0466,0.0853,0.0568,0.045,0.0498
14,50,0,0,0.0421,0.0581,0.0636,0.0461,0.0635
14,55,0,0,0.0484,0.0455,0.0431,0.0513,0.0631
15,0,0,0,0.0357,0.055999999999999994,0.0592,0.0514,0.0597
15,5,0,0,0.042,0.0587,0.0333,0.0485,0.0951
15,10,0,0,0.0335,0.0402,0.0421,0.0561,0.0948
15,15,0,0,0.0382,0.0512,0.043,0.0425,0.0854
15,20,0,0,0.036000000000000004,0.0575,0.0496,0.0505,0.0806
15,25,0,0,0.0398,0.0523,0.0656,0.0471,0.0709
15,30,0,0,0.0424,0.0536,0.0519,0.0464,0.1125
15,35,0,0,0.046,0.0659,0.0582,0.0481,0.0979
15,40,0,0,0.0288,0.0508,0.0438,0.044000000000000004,0.0832
15,45,0,0,0.0329,0.0526,0.0597,0.0492,0.0857
15,50,0,0,0.0401,0.0429,0.0632,0.0483,0.064
15,55,0,0,0.044000000000000004,0.0551,0.0476,0.0419,0.0714
16,0,0,0,0.0353,0.0524,0.0561,0.0443,0.052000000000000005
16,5,0,0,0.0382,0.0452,0.0413,0.044000000000000004,0.0849
16,10,0,0,0.0393,0.0525,0.0568,0.0465,0.1202
16,15,0,0,0.0382,0.0537,0.0357,0.0463,0.0883
16,20,0,0,0.0442,0.0518,0.0533,0.0433,0.1108
16,25,0,0,0.034,0.0513,0.0491,0.040999999999999995,0.1116
16,30,0,0,0.0433,0.057999999999999996,0.0442,0.037000000000000005,0.08900000000000001
16,35,0,0,0.0398,0.0551,0.0584,0.0472,0.1172
16,40,0,0,0.0414,0.0631,0.053,0.0364,0.0825
16,45,0,0,0.0411,0.0518,0.0535,0.0418,0.0971
16,50,0,0,0.042,0.0552,0.0399,0.040999999999999995,0.0852
16,55,0,0,0.0292,0.0452,0.048,0.0379,0.0728
17,0,0,0,0.0389,0.0563,0.05,0.0449,0.076
17,5,0,0,0.0376,0.0464,0.0508,0.046,0.0754
17,10,0,0,0.0371,0.0632,0.0467,0.0374,0.1111
17,15,0,0,0.0405,0.0511,0.0511,0.0406,0.0827
17,20,0,0,0.0412,0.0591,0.0226,0.0375,0.0843
17,25,0,0,0.0327,0.0509,0.0404,0.0443,0.0785
17,30,0,0,0.0442,0.0592,0.036000000000000004,0.0441,0.1058
17,35,0,0,0.0473,0.0497,0.0422,0.0399,0.094
17,40,0,0,0.0414,0.0545,0.0656,0.0451,0.0978
17,45,0,0,0.0384,0.0528,0.0459,0.0353,0.0859
17,50,0,0,0.0415,0.0498,0.0374,0.0421,0.1067
17,55,0,0,0.0394,0.0541,0.0567,0.0377,0.1238
18,0,0,0,0.0415,0.0538,0.0454,0.0411,0.0955
18,5,0,0,0.0641,0.0507,0.0576,0.042,0.0793
18,10,0,0,0.0389,0.0565,0.0401,0.0388,0.1074
18,15,0,0,0.0379,0.0529,0.0549,0.0381,0.1004
18,20,0,0,0.0337,0.054000000000000006,0.0548,0.035,0.1053
18,25,0,0,0.0403,0.0567,0.0565,0.0402,0.1167
18,30,0,0,0.0415,0.0317,0.0479,0.0354,0.1061
18,35,0,0,0.0354,0.0783,0.0314,0.0431,0.109
18,40,0,0,0.040999999999999995,0.0577,0.040999999999999995,0.0347,0.0878
18,45,0,0,0.0387,0.0542,0.0323,0.0355,0.0541
18,50,0,0,0.0372,0.0561,0.0502,0.0365,0.0611
18,55,0,0,0.0334,0.0559,0.0435,0.0332,0.06
19,0,0,0,0.0357,0.0422,0.0404,0.0325,0.0718
19,5,0,0,0.0336,0.0515,0.046,0.0413,0.0534
19,10,0,0,0.0349,0.0479,0.0378,0.0386,0.051
19,15,0,0,0.0395,0.0401,0.0406,0.0347,0.0537
19,20,0,0,0.0356,0.0486,0.0488,0.0351,0.0508
19,25,0,0,0.0279,0.0398,0.0428,0.035,0.0521
19,30,0,0,0.0345,0.0399,0.053,0.0259,0.0373
19,35,0,0,0.0338,0.0509,0.0453,0.0337,0.0498
19,40,0,0,0.0374,0.0469,0.0263,0.0345,0.0418
19,45,0,0,0.0377,0.0462,0.0426,0.0288,0.0473
19,50,0,0,0.0298,0.0425,0.0376,0.0334,0.0337
19,55,0,0,0.0293,0.0451,0.0442,0.0268,0.0307
20,0,0,0,0.0304,0.0399,0.032,0.0226,0.0421
20,5,0,0,0.0261,0.051,0.0408,0.0279,0.0328
20,10,0,0,0.0217,0.0507,0.0251,0.0315,0.0299
20,15,0,0,0.0341,0.0375,0.0356,0.0309,0.0263
20,20,0,0,0.0263,0.0323,0.0459,0.0251,0.0299
20,25,0,0,0.0265,0.0358,0.0411,0.0274,0.0271
20,30,0,0,0.0294,0.0479,0.0337,0.0233,0.0236
20,35,0,0,0.0554,0.0389,0.028999999999999998,0.0232,0.0286
20,40,0,0,0.0293,0.0397,0.0467,0.0294,0.0232
20,45,0,0,0.0299,0.0438,0.0394,0.0228,0.0211
20,50,0,0,0.0329,0.0344,0.0377,0.0258,0.0227
20,55,0,0,0.0275,0.0415,0.0361,0.0287,0.0277
21,0,0,0,0.047,0.0328,0.0343,0.0268,0.0226
21,5,0,0,0.0238,0.0411,0.0383,0.0189,0.0192
21,10,0,0,0.0289,0.0333,0.027999999999999997,0.0248,0.0119
21,15,0,0,0.0246,0.0369,0.0345,0.0247,0.0212
21,20,0,0,0.0243,0.034,0.0283,0.03,0.0151
21,25,0,0,0.0268,0.0719,0.0375,0.0227,0.0215
21,30,0,0,0.0218,0.0412,0.0318,0.0245,0.0122
21,35,0,0,0.0272,0.0269,0.0406,0.0208,0.02
21,40,0,0,0.0256,0.0323,0.0389,0.0297,0.0209
21,45,0,0,0.0273,0.0393,0.0301,0.02,0.0175
21,50,0,0,0.0233,0.0333,0.0421,0.0213,0.0177
21,55,0,0,0.0273,0.0331,0.0336,0.0211,0.0076
22,0,0,0,0.0276,0.0314,0.0429,0.0221,0.0135
22,5,0,0,0.0252,0.0333,0.0284,0.0201,0.0197
22,10,0,0,0.0224,0.0285,0.0341,0.019,0.0109
22,15,0,0,0.016,0.021,0.0294,0.0161,0.0152
22,20,0,0,0.0266,0.0235,0.0351,0.0214,0.0108
22,25,0,0,0.0232,0.0325,0.0385,0.0158,0.0134
22,30,0,0,0.021,0.0259,0.0328,0.02,0.0116
22,35,0,0,0.0223,0.0297,0.0278,0.0188,0.0116
22,40,0,0,0.0229,0.0187,0.0322,0.0182,0.0088
22,45,0,0,0.0169,0.0265,0.0299,0.0187,0.0098
22,50,0,0,0.0216,0.0286,0.0257,0.0178,0.0083
22,55,0,0,0.0184,0.0247,0.024,0.0126,0.0074
23,0,0,0,0.0211,0.0217,0.0256,0.0144,0.0098
23,5,0,0,0.0176,0.0192,0.0231,0.0128,0.0081
23,10,0,0,0.0168,0.0221,0.0184,0.0137,0.008
23,15,0,0,0.0125,0.0195,0.027999999999999997,0.0118,0.0072
23,20,0,0,0.0178,0.0134,0.0206,0.0127,0.009000000000000001
23,25,0,0,0.0154,0.0176,0.0211,0.0119,0.0025
23,30,0,0,0.0113,0.0168,0.0221,0.0069,0.0034
23,35,0,0,0.0146,0.0164,0.0209,0.0141,0.0066
23,40,0,0,0.015,0.0093,0.0205,0.0108,0.0042
23,45,0,0,0.0174,0.0193,0.017,0.0104,0.0049
23,50,0,0,0.0173,0.0171,0.0221,0.0102,0.0058
23,55,0,0,0.0107,0.0181,0.0158,0.0116,0.0029
0,0,1,0,0.015,0.0154,0.0149,0.0067,0.0036
0,5,1,0,0.0101,0.0189,0.0147,0.0072,0.0019
0,10,1,0,0.0102,0.0083,0.0156,0.0075,0.006
0,15,1,0,0.0107,0.009000000000000001,0.0116,0.0061,0.005
0,20,1,0,0.0092,0.0087,0.0129,0.0071,0.0024
0,25,1,0,0.0118,0.0121,0.0099,0.0048,0.0059
0,30,1,0,0.0096,0.0127,0.0126,0.0029,0.0035
0,35,1,0,0.0086,0.0093,0.0099,0.0049,0.0042
0,40,1,0,0.0091,0.0081,0.0106,0.0043,0.001
0,45,1,0,0.0088,0.0084,0.0135,0.0068,0.0018
0,50,1,0,0.0102,0.0105,0.0117,0.0038,0.0029
0,55,1,0,0.0089,0.0074,0.0104,0.0041,0.0019
1,0,1,0,0.0096,0.0091,0.0092,0.0042,0.0028
1,5,1,0,0.005,0.006999999999999999,0.0111,0.0042,0.0013
1,10,1,0,0.0076,0.0111,0.0106,0.0056,0.0024
1,15,1,0,0.0091,0.0107,0.0123,0.0052,0.0027
1,20,1,0,0.0079,0.0104,0.0104,0.0031,0.0019
1,25,1,0,0.008,0.0096,0.0116,0.0043,0.0018
1,30,1,0,0.0071,0.005,0.0154,0.0063,0.0028
1,35,1,0,0.0056,0.0101,0.0103,0.0039,0.0004
1,40,1,0,0.0049,0.0103,0.0123,0.003,0.0014
1,45,1,0,0.0042,0.0042,0.0086,0.0024,0.0017
1,50,1,0,0.006,0.0053,0.0103,0.0027,0.0013
1,55,1,0,0.006,0.0062,0.0106,0.0019,0.003
2,0,1,0,0.0051,0.0071,0.0076,0.002,0.0006
2,5,1,0,0.0051,0.0098,0.011000000000000001,0.0043,0.0082
2,10,1,0,0.0108,0.008,0.0106,0.005,0.0004
2,15,1,0,0.0039,0.0063,0.0106,0.0069,0.001
2,20,1,0,0.0037,0.0086,0.0094,0.004,0.0006
2,25,1,0,0.0037,0.0108,0.01,0.003,0.0034
2,30,1,0,0.0028,0.0085,0.0116,0.0021,0.001
2,35,1,0,0.0034,0.0102,0.0122,0.0019,0.002
2,40,1,0,0.0056,0.0114,0.0139,0.0019,0.0026
2,45,1,0,0.0034,0.0107,0.0096,0.0026,0.0025
2,50,1,0,0.0056,0.0122,0.0112,0.0036,0.0028
2,55,1,0,0.0052,0.0125,0.0108,0.0036,0.0039
3,0,1,0,0.0037,0.0097,0.0134,0.0034,0.0069
3,5,1,0,0.0039,0.0109,0.0135,0.0036,0.0029
3,10,1,0,0.0039,0.0098,0.0103,0.0033,0.0022
3,15,1,0,0.0049,0.0148,0.0209,0.003,0.005
3,20,1,0,0.0062,0.0226,0.02,0.0025,0.0073
3,25,1,0,0.0054,0.0121,0.0164,0.0022,0.0075
3,30,1,0,0.0088,0.0229,0.0233,0.005,0.0109
3,35,1,0,0.0077,0.0198,0.0229,0.0068,0.0095
3,40,1,0,0.006,0.0191,0.0249,0.0045,0.004
3,45,1,0,0.0092,0.0264,0.0187,0.0058,0.0059
3,50,1,0,0.0085,0.0265,0.0304,0.0064,0.0075
3,55,1,0,0.0099,0.0272,0.0289,0.0056,0.0072
4,0,1,0,0.011000000000000001,0.0235,0.0241,0.0043,0.0063
4,5,1,0,0.0105,0.0285,0.0317,0.0034,0.0101
4,10,1,0,0.0102,0.0266,0.0418,0.0069,0.0111
4,15,1,0,0.0091,0.0344,0.0371,0.0053,0.0118
4,20,1,0,0.0141,0.0325,0.0429,0.0073,0.0159
4,25,1,0,0.0181,0.0344,0.0528,0.019,0.0207
4,30,1,0,0.013999999999999999,0.0402,0.0439,0.0067,0.0181
4,35,1,0,0.0154,0.0439,0.0586,0.0063,0.0174
4,40,1,0,0.0205,0.0481,0.0596,0.0142,0.0237
4,45,1,0,0.0218,0.0551,0.0876,0.0106,0.0249
4,50,1,0,0.0186,0.055,0.0674,0.013000000000000001,0.0285
4,55,1,0,0.0224,0.0579,0.0564,0.0092,0.0242
5,0,1,0,0.0176,0.0542,0.0685,0.0166,0.0345
5,5,1,0,0.0261,0.0645,0.0938,0.018000000000000002,0.0318
5,10,1,0,0.0239,0.0704,0.0865,0.0246,0.0453
5,15,1,0,0.0256,0.085,0.0982,0.0123,0.0354
5,20,1,0,0.0223,0.0831,0.0961,0.0215,0.0404
5,25,1,0,0.0246,0.1053,0.1066,0.0222,0.0494
5,30,1,0,0.0255,0.1173,0.1038,0.0236,0.055999999999999994
5,35,1,0,0.0275,0.1023,0.0845,0.0293,0.067
5,40,1,0,0.0303,0.136,0.1024,0.0327,0.0479
5,45,1,0,0.0215,0.1259,0.1162,0.0361,0.0663
5,50,1,0,0.0321,0.1241,0.0841,0.031,0.0605
5,55,1,0,0.0304,0.1552,0.1042,0.0296,0.0848
6,0,1,0,0.0262,0.1148,0.1009,0.0293,0.0746
6,5,1,0,0.03,0.1446,0.0998,0.0232,0.0845
6,10,1,0,0.0345,0.1591,0.0942,0.0346,0.09
6,15,1,0,0.0344,0.1354,0.0943,0.0265,0.0882
6,20,1,0,0.038,0.1469,0.0766,0.0412,0.1145
6,25,1,0,0.0412,0.14,0.0897,0.0363,0.08900000000000001
6,30,1,0,0.036000000000000004,0.1618,0.077,0.0375,0.13
6,35,1,0,0.049,0.1449,0.1038,0.0447,0.087
6,40,1,0,0.0503,0.1347,0.0767,0.038,0.10800000000000001
6,45,1,0,0.0481,0.1253,0.075,0.048,0.1157
6,50,1,0,0.054000000000000006,0.1273,0.0861,0.0416,0.1121
6,55,1,0,0.0608,0.1129,0.0582,0.0447,0.0893
7,0,1,0,0.054000000000000006,0.1097,0.0683,0.0406,0.0686
7,5,1,0,0.0545,0.1315,0.0927,0.0444,0.0875
7,10,1,0,0.0587,0.1229,0.087,0.0449,0.0783
7,15,1,0,0.0632,0.1134,0.0663,0.0511,0.0783
7,20,1,0,0.0628,0.0955,0.092,0.0472,0.0957
7,25,1,0,0.0669,0.1172,0.0423,0.0591,0.0645
7,30,1,0,0.057999999999999996,0.1016,0.0979,0.0512,0.0775
7,35,1,0,0.0597,0.0979,0.09,0.0509,0.0774
7,40,1,0,0.0469,0.0981,0.0883,0.0661,0.0587
7,45,1,0,0.0435,0.0997,0.1074,0.0582,0.0872
7,50,1,0,0.0498,0.0859,0.0668,0.0621,0.0626
7,55,1,0,0.0443,0.0979,0.0932,0.0644,0.0557
8,0,1,0,0.049,0.102,0.0903,0.0553,0.0639
8,5,1,0,0.0473,0.0941,0.0682,0.0576,0.0635
8,10,1,0,0.0481,0.1093,0.0727,0.0487,0.0683
8,15,1,0,0.0418,0.0874,0.0695,0.0683,0.0663
8,20,1,0,0.0438,0.1168,0.0753,0.0583,0.0583
8,25,1,0,0.0387,0.1099,0.08,0.0503,0.0708
8,30,1,0,0.0385,0.1057,0.0821,0.0666,0.0724
8,35,1,0,0.034,0.1017,0.0442,0.0584,0.0709
8,40,1,0,0.0472,0.1064,0.0752,0.0604,0.064
8,45,1,0,0.0455,0.109,0.065,0.0572,0.0656
8,50,1,0,0.0422,0.1199,0.0564,0.0528,0.0875
8,55,1,0,0.0409,0.09699999999999999,0.0596,0.0503,0.0735
9,0,1,0,0.035,0.1173,0.0611,0.0449,0.0678
9,5,1,0,0.0395,0.1006,0.0602,0.0576,0.0642
9,10,1,0,0.0428,0.1001,0.0665,0.0613,0.0732
9,15,1,0,0.0465,0.1118,0.0725,0.054000000000000006,0.0662
9,20,1,0,0.0436,0.1042,0.0784,0.0542,0.09
9,25,1,0,0.0335,0.0942,0.0698,0.0474,0.0809
9,30,1,0,0.0413,0.0925,0.0582,0.0561,0.071
9,35,1,0,0.0474,0.0975,0.07200000000000001,0.0527,0.0748
9,40,1,0,0.0374,0.0666,0.0557,0.0648,0.0769
9,45,1,0,0.0463,0.1162,0.0711,0.0641,0.0801
9,50,1,0,0.0425,0.0745,0.0648,0.0571,0.0893
9,55,1,0,0.0481,0.1201,0.07200000000000001,0.0511,0.0713
10,0,1,0,0.0426,0.0914,0.0893,0.0564,0.0784
10,5,1,0,0.0398,0.0883,0.0677,0.053,0.0877
10,10,1,0,0.0445,0.0915,0.0631,0.0519,0.0714
10,15,1,0,0.0479,0.085,0.0878,0.0587,0.0747
10,20,1,0,0.0376,0.0778,0.077,0.0564,0.0767
10,25,1,0,0.047,0.0794,0.0653,0.0545,0.1131
10,30,1,0,0.046,0.0733,0.0583,0.0542,0.0709
10,35,1,0,0.0453,0.0757,0.052000000000000005,0.0598,0.0897
10,40,1,0,0.0459,0.0814,0.0561,0.0664,0.0901
10,45,1,0,0.0447,0.08199999999999999,0.0956,0.0556,0.0738
